C79E  78        SEI                             A:00 X:00 Y:00 P:24 SP:FD CYC:  0 SL:241
C79F  D8        CLD                             A:00 X:00 Y:00 P:24 SP:FD CYC:  6 SL:241
C7A0  A9 10     LDA #$10                        A:00 X:00 Y:00 P:24 SP:FD CYC: 12 SL:241
C7A2  8D 00 20  STA $2000 = FF                  A:10 X:00 Y:00 P:24 SP:FD CYC: 18 SL:241
C7A5  A2 FF     LDX #$FF                        A:10 X:00 Y:00 P:24 SP:FD CYC: 30 SL:241
C7A7  9A        TXS                             A:10 X:FF Y:00 P:A4 SP:FD CYC: 36 SL:241
C7A8  AD 02 20  LDA $2002 = FF                  A:10 X:FF Y:00 P:A4 SP:FF CYC: 42 SL:241
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC: 54 SL:241
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC: 60 SL:241
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC: 69 SL:241
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC: 81 SL:241
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC: 87 SL:241
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC: 96 SL:241
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:108 SL:241
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:114 SL:241
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:123 SL:241
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:135 SL:241
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:141 SL:241
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:150 SL:241
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:162 SL:241
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:168 SL:241
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:177 SL:241
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:189 SL:241
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:195 SL:241
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:204 SL:241
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:216 SL:241
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:222 SL:241
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:231 SL:241
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:243 SL:241
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:249 SL:241
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:258 SL:241
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:270 SL:241
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:276 SL:241
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:285 SL:241
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:297 SL:241
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:303 SL:241
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:312 SL:241
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:324 SL:241
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:330 SL:241
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:339 SL:241
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC: 10 SL:242
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC: 16 SL:242
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC: 25 SL:242
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC: 37 SL:242
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC: 43 SL:242
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC: 52 SL:242
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC: 64 SL:242
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC: 70 SL:242
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC: 79 SL:242
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC: 91 SL:242
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC: 97 SL:242
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:106 SL:242
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:118 SL:242
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:124 SL:242
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:133 SL:242
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:145 SL:242
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:151 SL:242
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:160 SL:242
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:172 SL:242
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:178 SL:242
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:187 SL:242
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:199 SL:242
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:205 SL:242
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:214 SL:242
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:226 SL:242
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:232 SL:242
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:241 SL:242
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:253 SL:242
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:259 SL:242
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:268 SL:242
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:280 SL:242
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:286 SL:242
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:295 SL:242
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:307 SL:242
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:313 SL:242
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:322 SL:242
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:334 SL:242
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:340 SL:242
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:  8 SL:243
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC: 20 SL:243
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC: 26 SL:243
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC: 35 SL:243
